en,bho
These glasses suit people with round faces.,ई चस्मा सब गोल मुंह वाला पर अच्छा लगेलन।
"Mr. Bartel, do you regret your crimes?","सिरी बरटेल, आपके अपने अपराधन क अफसोस हव?"
cheap and durable.,सस्ता और टिकाऊ।
The men were very hungry.,मनइए बड़ा भुखाइल रहलें।
Do you want to narrate how you killed my father?,का तू हमके ई बतावल चाहत हवा कि तू हमरे पिताजी के कइसे मरला?
"Over the big meadow, beyond the rice fields","धान के खेत से परे, बड़े घास के मैदान के पार।"
Will my crush smile at me?,हमरा से प्रेम करे वाला हमके देख के मुस्कुरयिहें का?
"I really get under that ice cold skin of yours, don't I?",वास्तव में आप सफल जेवजी के तहत हप की अपने बर्फीले त्वजा
Has he disclosed your secret to everyone?,का ऊ तोहार राज/गुप्त/निजी बात के सबके सामने बता दहनअ?
You only bang on the roof when you got something on your mind.,आपके अपने दिमाग पे कुछ मिल गयल जब आपके खाली छते पे धमाका।
"I wrote him a friendly letter, thanking him for his help.",हम ओके दोस्ताना चिट्ठी लिखली हऽ और मदद खातिर धन्यवाद देहली हऽ।
"No, I don't.","नाहीं, हम नाहीं।"
I have never seen a tiger.,हम कभौ बाघ नाई देखले हईं।
It is very simple.,ई बहुते आसान बा।
"Right, Heywood?","ठीक हव, हेवुड?- हम"
What is it?,का भयल?
He is not happy.,उ खुश नईखन।
I got one!,एक मिल गया!
This one thing is enough to prove how good a lover he is.,खाली ई एगो चीजुअ साबित करति हव कि ई केतना नीक परेमी हवॅ।
It is worth seeing the film.,ई फिल्म के देखल फायदा वाला रहल की ना।
I accept that I should not have slapped Rajesh.,हम मानीऽल हमके राजेश के नाई मारेऽक चाहत रहऽल।
Get over there.,ऊहाँ जा।
I gotta go. I'll be back.,"हमें जाये के हव, लेकिन हम बापस आइब"
"Although my boss called me last night, I didn't answer the phone.","हालाँकि हमके पिछली रात हमार मालिक फोन कईले रहलन, लेकिन हम उनकी कॉल के जवाब ना देहल चहनी।"
I just lost my concentration and my animal turned on me.,हम सिरिफ आपन एकगरता खोइ दिहलीं अउर हमार जानवर हमके दे दिहलअ।
I don't recall seeing her there.,ओके उहां देखले बादो हमके याद नाई हऽ।
I had purchased a lottery ticket.,हम एक लॉटरी क टिकट खरीदली।
How many sisters do Kishan have ?,किसन के केतना बहन हई ।
"This one here, you told me but I forgot.",इ का हव पेले? लगता नाही हव की हम कबों देखल हईं।
My uncle is still in hospital.,हमार अंकल अबिहनो अस्पताल में हवें।
He's as good as dead.,तू सरत लगा ला...
The multi-millionaire Mr. Sen is the richest in this town.,कई गुना लखपति मिस्टर सेन शहर में सबसे अमीर मनई हवें।
Ravi fell down the stairs.,रवि सीढ़ी से नीचे गिर गइल।
We embrace the trials of our lives...,हम आपन जीवन क परिछा के गले लगावत हईं...
Did he show you the picture ?,का ऊ तोहके तस्वीर दिखवलन?
I feel hungry.,हमके भूख लगऽत।
He likes himself.,उ अपना के पसंद करेलन।
They did not shout at me.,उ हमरे उपर चिल्लात न हवें ।
And the newborns won't know they even exist.,एक लाभ देबा हमें-हम संगठित करय की जरूरत हव
"I've a reason, King.",एकर एगो कारन हव महराजा
I have nothing more to teach you.,हम तुहै सिखा दिहले हई।
I don't have any on me.,हमरे अलावा केहू नाई हऽ।
How much is your amount ?,केतना तोहार रकम ह ।
... secondthoughtsaboutthe job . I'm intrigued.,ई नोकरी छोड़ेके बेबस कइ देत हव ।
We are not as poor as they.,हमहन क व्े के रुप मे गरीब ना हई जा।
"Rama said, ""I am very busy now.""",रामा कहऽत कि हम बड़ा व्यस्त हई।
It's a clear day.,दिन साफ़ बाटे।
[Coughing],खाँसी
